	3.00E-01	5.00E-01	7.00E-01	1.00E+00	2.00E+00	3.00E+00	5.00E+00	7.00E+00	1.00E+01	1.26E+01	1.58E+01	2.00E+01	2.51E+01	3.16E+01	3.98E+01	5.01E+01	6.31E+01	7.94E+01	1.00E+02	1.26E+02	1.58E+02	2.00E+02	2.51E+02	3.16E+02	3.98E+02	5.01E+02	6.31E+02	7.94E+02	1.00E+03	1.26E+03	1.58E+03	2.00E+03	2.51E+03	3.16E+03	3.98E+03	5.01E+03	6.31E+03	7.94E+03	1.00E+04	1.26E+04	1.58E+04	2.00E+04	2.51E+04	3.16E+04	3.98E+04	5.01E+04	6.31E+04	7.94E+04	1.00E+05	1.26E+05	1.58E+05	2.00E+05	2.51E+05	3.16E+05	3.98E+05	5.01E+05	6.31E+05	7.94E+05	1.00E+06
25	1.23E+06	1.06E+06	1.02E+06	9.86E+05	1.07E+06	1.13E+06	1.41E+06	1.65E+06	1.33E+06	9.59E+05	1.29E+06	3.34E+06	1.62E+06	2.25E+06	2.39E+06	2.84E+06	3.67E+06	4.37E+06	5.00E+06	2.99E+06	3.55E+06	4.50E+06	5.19E+06	7.95E+06	7.44E+06	8.76E+06	1.08E+07	1.29E+07	1.53E+07	1.79E+07	2.18E+07	2.49E+07	3.08E+07	3.58E+07	4.22E+07	5.26E+07	6.01E+07	6.95E+07	8.13E+07	9.57E+07	1.00E+08	1.31E+08	1.56E+08	1.74E+08	2.16E+08	2.37E+08	2.66E+08	3.51E+08	3.23E+08	4.20E+08	4.98E+08	5.81E+08	6.96E+08	8.28E+08	9.39E+08	7.90E+08	1.03E+09	1.03E+09	6.40E+09
75	4.79E+04	1.68E+05	2.18E+05	2.69E+05	3.96E+05	5.00E+05	7.94E+05	1.04E+06	1.83E+06	1.72E+06	2.27E+06	3.47E+06	3.09E+06	4.10E+06	5.09E+06	6.15E+06	7.42E+06	8.84E+06	1.03E+07	1.23E+07	1.38E+07	1.67E+07	2.04E+07	2.30E+07	2.84E+07	3.39E+07	4.05E+07	4.90E+07	5.80E+07	7.95E+07	9.64E+07	1.15E+08	1.36E+08	1.65E+08	1.95E+08	2.35E+08	2.86E+08	3.36E+08	4.06E+08	4.68E+08	5.64E+08	6.94E+08	7.94E+08	9.68E+08	1.18E+09	1.35E+09	1.57E+09	2.02E+09	2.22E+09	2.95E+09	3.26E+09	4.38E+09	5.08E+09	6.13E+09	7.14E+09	7.50E+09	9.56E+09	1.07E+10	1.79E+10
125	3.75E+03	5.92E+04	1.15E+05	1.71E+05	3.06E+05	4.19E+05	6.86E+05	9.43E+05	1.62E+06	1.51E+06	2.16E+06	3.11E+06	3.27E+06	4.25E+06	5.84E+06	7.09E+06	8.67E+06	1.04E+07	1.23E+07	1.47E+07	1.73E+07	2.11E+07	2.63E+07	2.90E+07	3.93E+07	4.66E+07	5.66E+07	6.83E+07	8.49E+07	1.01E+08	1.23E+08	1.52E+08	1.83E+08	2.21E+08	2.72E+08	3.33E+08	4.10E+08	4.97E+08	6.11E+08	7.31E+08	8.84E+08	1.12E+09	1.33E+09	1.59E+09	1.98E+09	2.40E+09	2.82E+09	3.54E+09	4.17E+09	5.98E+09	6.77E+09	9.11E+09	1.07E+10	1.33E+10	1.57E+10	1.74E+10	2.21E+10	2.57E+10	4.04E+10
175	2.07E+03	1.57E+04	5.62E+04	1.03E+05	2.21E+05	3.28E+05	5.29E+05	7.42E+05	1.32E+06	9.91E+05	1.51E+06	2.10E+06	2.23E+06	3.75E+06	5.35E+06	6.31E+06	7.34E+06	9.16E+06	1.12E+07	1.39E+07	1.71E+07	2.09E+07	2.67E+07	3.00E+07	4.09E+07	4.92E+07	6.03E+07	7.54E+07	9.42E+07	1.10E+08	1.37E+08	1.73E+08	2.13E+08	2.62E+08	3.26E+08	4.07E+08	5.07E+08	6.30E+08	7.83E+08	9.69E+08	1.19E+09	1.52E+09	1.86E+09	2.32E+09	2.87E+09	3.51E+09	4.28E+09	5.41E+09	6.49E+09	9.19E+09	1.09E+10	1.43E+10	1.73E+10	2.19E+10	2.69E+10	3.22E+10	4.01E+10	4.73E+10	6.63E+10
225	1.20E+03	5.76E+03	2.43E+04	6.14E+04	1.53E+05	2.43E+05	3.92E+05	5.50E+05	1.01E+06	7.04E+05	1.06E+06	1.28E+06	1.50E+06	3.05E+06	4.37E+06	5.75E+06	6.69E+06	8.03E+06	1.01E+07	1.21E+07	1.52E+07	1.86E+07	2.46E+07	2.80E+07	3.83E+07	4.69E+07	5.86E+07	7.32E+07	9.34E+07	1.05E+08	1.33E+08	1.71E+08	2.13E+08	2.66E+08	3.40E+08	4.25E+08	5.36E+08	6.78E+08	8.57E+08	1.09E+09	1.33E+09	1.73E+09	2.14E+09	2.70E+09	3.35E+09	4.23E+09	5.22E+09	6.66E+09	8.09E+09	1.04E+10	1.30E+10	1.63E+10	2.02E+10	2.59E+10	3.29E+10	4.16E+10	5.21E+10	6.36E+10	8.35E+10
275	7.29E+02	3.53E+03	1.01E+04	3.45E+04	1.04E+05	1.75E+05	2.80E+05	3.98E+05	7.46E+05	4.18E+05	6.58E+05	7.52E+05	9.42E+05	2.34E+06	2.57E+06	4.37E+06	5.68E+06	6.63E+06	8.24E+06	9.74E+06	1.25E+07	1.54E+07	2.03E+07	2.40E+07	3.27E+07	4.08E+07	5.15E+07	6.56E+07	8.34E+07	9.40E+07	1.19E+08	1.55E+08	1.94E+08	2.50E+08	3.18E+08	4.01E+08	5.14E+08	6.57E+08	8.38E+08	1.08E+09	1.34E+09	1.73E+09	2.17E+09	2.79E+09	3.46E+09	4.43E+09	5.52E+09	7.15E+09	8.71E+09	9.34E+09	1.25E+10	1.50E+10	1.89E+10	2.45E+10	3.18E+10	4.15E+10	5.21E+10	6.62E+10	8.83E+10
325	4.14E+02	2.15E+03	5.15E+03	1.74E+04	6.86E+04	1.24E+05	2.01E+05	2.78E+05	5.44E+05	2.53E+05	3.69E+05	4.37E+05	5.52E+05	1.71E+06	1.41E+06	2.40E+06	4.16E+06	5.34E+06	6.48E+06	7.42E+06	1.02E+07	1.29E+07	1.66E+07	2.00E+07	2.66E+07	3.43E+07	4.38E+07	5.54E+07	7.09E+07	7.86E+07	9.97E+07	1.31E+08	1.67E+08	2.16E+08	2.80E+08	3.53E+08	4.56E+08	5.92E+08	7.65E+08	9.92E+08	1.25E+09	1.61E+09	2.06E+09	2.65E+09	3.33E+09	4.27E+09	5.41E+09	6.99E+09	8.58E+09	7.63E+09	1.04E+10	1.24E+10	1.57E+10	2.05E+10	2.68E+10	3.53E+10	4.45E+10	5.84E+10	8.11E+10
375	2.56E+02	1.37E+03	3.41E+03	9.36E+03	4.58E+04	8.58E+04	1.38E+05	1.97E+05	3.81E+05	1.37E+05	2.28E+05	2.69E+05	3.36E+05	1.30E+06	7.46E+05	1.30E+06	2.34E+06	3.67E+06	5.10E+06	6.04E+06	7.89E+06	1.01E+07	1.32E+07	1.60E+07	2.15E+07	2.79E+07	3.58E+07	4.55E+07	5.80E+07	6.29E+07	8.04E+07	1.06E+08	1.37E+08	1.79E+08	2.33E+08	2.96E+08	3.84E+08	5.03E+08	6.55E+08	8.49E+08	1.11E+09	1.40E+09	1.82E+09	2.36E+09	2.98E+09	3.88E+09	4.98E+09	6.37E+09	8.02E+09	6.04E+09	8.21E+09	9.88E+09	1.26E+10	1.67E+10	2.14E+10	2.82E+10	3.55E+10	4.72E+10	6.55E+10
425	1.57E+02	8.38E+02	2.14E+03	5.30E+03	2.98E+04	6.02E+04	9.54E+04	1.42E+05	2.67E+05	1.10E+05	1.42E+05	1.69E+05	2.40E+05	9.21E+05	4.94E+05	8.36E+05	1.27E+06	2.45E+06	4.01E+06	4.67E+06	6.29E+06	7.82E+06	9.95E+06	1.30E+07	1.68E+07	2.23E+07	2.79E+07	3.64E+07	4.59E+07	4.85E+07	6.32E+07	8.25E+07	1.09E+08	1.42E+08	1.86E+08	2.39E+08	3.12E+08	4.08E+08	5.34E+08	6.96E+08	9.28E+08	1.16E+09	1.53E+09	2.00E+09	2.54E+09	3.33E+09	4.34E+09	5.48E+09	7.14E+09	4.73E+09	6.34E+09	7.82E+09	1.01E+10	1.34E+10	1.67E+10	2.22E+10	2.80E+10	3.71E+10	4.75E+10
