,0.3,0.5,0.7,1,2,3,5,7,10,12.58925412,15.84893192,19.95262315,25.11886432,31.6227766,39.81071706,50.11872336,63.09573445,79.43282347,100,125.8925412,158.4893192,199.5262315,251.1886432,316.227766,398.1071706,501.1872336,630.9573445,794.3282347,1000,1258.925412,1584.893192,1995.262315,2511.886432,3162.27766,3981.071706,5011.872336,6309.573445,7943.282347,10000,12589.25412,15848.93192,19952.62315,25118.86432,31622.7766,39810.71706,50118.72336,63095.73445,79432.82347,100000,125892.5412,158489.3192,199526.2315,251188.6432,316227.766,398107.1706,501187.2336,630957.3445,794328.2347,1000000
0.0314,2546.67,1561.668,1174.2918,896.312,659.66355,593.68,551.145,553.86,547.344,19267.00909,24225.84845,30477.68031,38434.55722,48309.60981,60884.31707,76655.98381,96406.08899,121555.5035,308989.7429,329900.9366,374682.577,467832.4317,543289.8603,671308.5808,817312.1923,780465.4368,925277.7091,1186496.812,1142097.429,1603320.989,1998516.404,2086592.741,1996740.866,2772523.324,4213101.081,4349429.663,4409507.893,5706091.5,8186254.286,9401968.284,10378566.62,14484718.47,13007733.69,18897754.4,21897140.09,21542010.74,26513723.41,33564263.77,25028571.43,33742689.74,43818719.37,33575247.85,61065825.09,66524112.33,101384133.3,60783271.76,76521605.31,182830756.8,118437428.6
0.0418,3390.87,2079.348,1563.5598,1193.432,878.33655,790.48,733.845,737.46,728.784,25697.95737,32311.95967,40650.52991,51263.25567,64434.40638,81206.30334,102242.2419,128584.5433,162128.3372,412143.4571,440035.6522,499767.3486,624014.4866,724662.8111,895419.4229,1090165.289,1041017.666,1234174.246,1582599.136,1523377.143,2138576.863,2665704.83,2783184.754,2663336.675,3698107.539,5619610.304,5801452.887,5881586.459,7611023.945,10919171.43,12540739.66,13843367.58,19320324.42,17350260.37,25206617.24,29207322.29,28733636.22,35365115.27,44769421.33,33428571.43,45007410.34,58447283.52,44784118.38,81452223.58,88732697.98,135230408.8,81075340.49,102067806.3,243867165.3,157976857.1
0.0555,4502.4,2760.96,2076.096,1584.64,1166.256,1049.6,974.4,979.2,967.68,34090.26952,42864.24007,53925.97944,68004.55682,85477.07697,107726.2573,135632.0089,170577.0492,215075.4098,546706.1143,583704.9645,662938.7023,827751.9104,961261.3814,1187769.131,1446098.312,1380904.217,1637125.56,2099309.5,2020752,2836810.701,3536043.551,3691880.315,3532902.237,4905520.264,7454383.885,7695596.076,7801895.075,10095983.77,14484220,16635223.54,18363153,25628308.72,23015028.89,33436444.51,38743358.78,38115016.01,46911635.77,59386400.53,44285714.29,59702091.18,77529986.2,59405856.58,108045924.1,117703407.8,179382314,107546045.4,135392449.3,323488585,209555428.6
0.0738,5979.75,3666.9,2757.315,2104.6,1548.93375,1394,1294.125,1300.5,1285.2,45309.4431,56970.94431,71673.12349,90384.98789,113607.7482,143179.1768,180268.7651,226714.2857,285857.1429,726609.7429,775783.7558,881090.8411,1100138.82,1277581.999,1578626.297,1921963.458,1835316.15,2175851.609,2790125.441,2685717.143,3770315.395,4699643.072,4906760.494,4695467.868,6519771.755,9907384.916,10227972.27,10369250.09,13418251.56,19250517.14,22109349.08,24405884.19,34061770.49,30588545.23,44439317.05,51492566.9,50657460.16,62348768.29,78928579.72,58857142.86,79348161.59,103042645.8,78954467.47,143600384.6,156435888.1,238411370.4,142936021.6,179945789.6,429938554.4,278513428.6
0.098,7907.34,4848.936,3646.1436,2783.024,2048.2371,1843.36,1711.29,1719.72,1699.488,59913.09967,75333.21161,94774.04041,119516.9134,150224.5862,189327.1623,238371.0713,299786.4169,377991.5691,960838.0857,1025863.704,1165117.303,1454777.073,1689420.514,2087508.856,2541523.278,2426944.492,2877254.237,3689544.17,3551479.143,4985705.716,6214609.537,6488493.168,6209088.288,8621470.277,13101107.56,13525038.11,13711858.37,17743728.37,25456074.29,29236468.05,32273310.08,45041847.4,40448999.57,58764675.96,68091598.4,66987282.02,82447377.08,104371821.3,77714285.71,104926648.2,136259290.1,104406033.4,189891078.4,206864278.2,315265163.5,189012598.4,237952762.9,568532490.9,368294571.4
0.13,10552.5,6471,4865.85,3714,2733.4125,2460,2283.75,2295,2268,79864.75608,100419.9182,126334.7358,159317.231,200250.8633,252374.9851,317751.0023,399618.267,503866.5105,1280804.543,1367484.225,1553110.374,1939229.109,2252010.656,2782665.433,3387870.21,3235135.737,3835402.102,4918190.748,4734148.857,6645983.727,8284122.672,8649211.529,8276762.674,11492486.81,17463877.6,18028979.43,18278014.86,23652527.83,33933142.86,38972439.29,43020572.43,60041129.85,53918827.7,78333766.14,90766624.9,89294565.73,109902987.8,139128450.4,103714285.7,139868014.7,181634646.3,139174049,253126312.2,275751605.8,420250915.6,251955127.9,317192712.7,757858129.3,490939142.9
0.173,14070,8628,6487.8,4952,3644.55,3280,3045,3060,3024,106587.5315,134020.4581,168606.3827,212624.8323,267254.8724,336819.7436,424070.599,533330.6792,672460.4215,1709381.771,1825065.839,2072805.405,2588125.4,3005568.555,3713788.77,4521504.461,4317662.855,5118787.749,6563894.478,6318269.429,8869834.441,11056120.19,11543372.64,11046297.6,15338052.26,23307564.23,24061758.76,24394122.63,31567032.74,45287702.86,52013227.33,57415928.27,80131832.23,71960913.56,104545472,121138559.9,119173926.8,146678254.9,185682999.5,138571428.6,186670041.2,242412447.3,185743813.1,337826333.2,368022440.7,560873401.6,336263412.5,423330554.4,1011449461,655215428.6
0.23,18713.1,11475.24,8628.774,6586.16,4847.2515,4362.4,4049.85,4069.8,4021.92,141704.772,178175.9854,224156.8848,282678.0296,355306.9503,447791.2595,563788.5286,709046.37,894014.9883,2272538.971,2426335.181,2755692.846,3440785.452,3995755.455,4937299.13,6011117.688,5740120.057,6805176.268,8726374.16,8399828,11792007.48,14698567.37,15346345.61,14685508.61,20391184.93,30986258.76,31988923.27,32430787.79,41966817.47,60207771.43,69149021.52,76331650.09,106531328.6,95668487.45,138988060.5,161047752,158435867.1,195001513.6,246856414.5,184000000,248168619,322275441.6,246937310.7,449123499.5,489267689.9,745653593.8,447045695.5,562797185.4,1344672425,871076857.1
0.306,24763.2,15185.28,11418.528,8715.52,6414.408,5772.8,5359.2,5385.6,5322.24,187694.5564,236002.3737,296906.212,374420.1881,470620.5692,593120.335,746764.1091,939164.8712,1184164.403,3010083.886,3213794.171,3650043.511,4557480.654,5292564.46,6539683.253,7962005.895,7603056.622,9013773.283,11558489.82,11125964,15619064.44,19468936.83,20326951.25,19451640.87,27009075.84,41042747.32,42370821.53,42956087.97,55587005.35,79748000,91591107.07,101104834,141105708.1,126717381.6,184096165.4,213315255.8,209855696.9,258288607.9,326972826.2,243714285.7,328710925.2,426868792.2,327079928.4,594884967.7,648057938.9,987653047.3,592132812.7,745451043.9,1781080896,1153781429
0.406,32923.8,20189.52,15181.452,11587.68,8528.247,7675.2,7125.3,7160.4,7076.16,249228.8493,313374.0325,394244.7505,497171.119,624910.0941,787570.5156,991585.2816,1247063.232,1572384.075,3996898.829,4267392.676,4846660.638,6051588.862,7027659.709,8683629.176,10572241.76,10095615.8,11968816.41,15347784.11,14773460,20739561.86,25851562.82,26990864.83,25828597.81,35863634.89,54498050.84,56261519.94,57038657.02,73810448.83,105892297.1,121618004.9,134250670.8,187365296.9,168259941.6,244449586.4,283247754.2,278654018.8,342964998.3,434166416.7,322857142.9,436474328,566811962.8,434308687.8,789909911.4,860514931.1,1311441685,786255516.1,989837047.9,2364984546,1532033429
